next_page_token,results__formatted_address,results__geometry__location__lat,results__geometry__location__lng,results__geometry__viewport__|,results__geometry__viewport__|__lat,results__geometry__viewport__|__lng,results__icon,results__id,results__name,results__opening_hours__open_now,results__photos__height,results__photos__html_attributions__-,results__photos__photo_reference,results__photos__width,results__place_id,results__plus_code__compound_code,results__plus_code__global_code,results__rating,results__reference,results__types__001,results__types__002,results__types__003,results__types__004,results__user_ratings_total,status,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
,"Tongging, Merek, Karo Regency, North Sumatra 22173, Indonesia",2.9164264,98.5195298,northeast,2.91805503,98.52038588,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,fa3a439cf4bc285900ef263068a389f96114ed60,Air Terjun Sipiso Piso,TRUE,1840,"<a href=""https://maps.google.com/maps/contrib/116000138622329583219"">Wilsen Lau</a>",CmRaAAAAkZ6kD7vP1wcDtpUP32EQwVh3QEnvHAi2rYeSya6fRtj3Yr82ZqjV_B5lqydkMOCBWH8mrHxLwqi_Bd6BVklpEv9wJRZl1-qlG5oufvgOBN5-u6n_P7VjvrPxby7-l-iLEhBTB84fGZbQwPb3FTm4Q379GhQwcAvz4_HGT2RQJlSK5UAlY759TA,3264,ChIJ6TGUtnCtMTARf_RpQIsNK40,"WG89+HR Merek, Karo Regency, North Sumatra",6MJWWG89+HR,4.5,ChIJ6TGUtnCtMTARf_RpQIsNK40,tourist_attraction,point_of_interest,establishment,,1803,,25000,22 (Hujan),23 (Gerimis Berpetir),26 (Gerimis),25 (Gerimis Tidak Merata),26 (Badai Guntir Tidak Merata),24 (Gerimis Berpetir,25 (Gerimis Berpetir),25 (Gerimis Berpetir)
,,,,southwest,2.91535537,98.51768622,,,,,,,,,,,,,,,,,,,,25000,22 (Hujan),23 (Gerimis Berpetir),26 (Gerimis),25 (Gerimis Tidak Merata),26 (Badai Guntir Tidak Merata),24 (Gerimis Berpetir,25 (Gerimis Berpetir),25 (Gerimis Berpetir)
,"Jl. Jamin Ginting, Sempajaya, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22152, Indonesia",3.203402,98.525747,northeast,3.20476273,98.52699388,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,e1095bf1422cf14bbc6dbb2de2ac7c6cca626b45,Mikie Funland,TRUE,3096,"<a href=""https://maps.google.com/maps/contrib/103715891456659688914"">Mery Wen</a>",CmRaAAAADWT1JTD0Zos-l9Ik6gaE0urdHl7Z_d9MEayJkLfGoyZBcBo_MAyEvkB7kIw6Y4Aqjn7uWO0oPgTXAei-T8ziqrVNSBZ5HgRozBQmVTfcJcFmlL-X38UdgQ3EH2uMDlYjEhDawDpe671KrxtjBEvPoTXTGhRZypa_yUkMzCGD42408Df2u9D0Qw,4128,ChIJz3yvJd4CMTARo_obrRT35cI,"6G3G+97 Berastagi, Karo Regency, North Sumatra",6MMW6G3G+97,4.6,ChIJz3yvJd4CMTARo_obrRT35cI,tourist_attraction,amusement_park,point_of_interest,establishment,4165,,100000,20 (Hujan),21 (Gerimis Berpetir),23 (Gerimis),22 (Gerimis Tidak Merata) ,23 (Badai Guntur Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
,,,,southwest,3.20206307,98.52429422,,,,,,,,,,,,,,,,,,,,100000,20 (Hujan),21 (Gerimis Berpetir),23 (Gerimis),22 (Gerimis Tidak Merata) ,23 (Badai Guntur Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
,"Kuta Gugung, Naman Teran, Karo Regency, North Sumatra 22153, Indonesia",3.198719,98.3803887,northeast,3.2003527,98.3840508,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,bebeb46481ad8ef830f212d5fe297879ff4f03c7,Danau Lau Kawar,TRUE,4272,"<a href=""https://maps.google.com/maps/contrib/112278326000050307157"">Muhammad Syahrial</a>",CmRaAAAAY2qRag11PFrKBiwyx1tI3BrDXotpqcqETzh5LMq_KeJ9ojGl_G2PjE-laBScKfy_tIkZkppErl0gf1a87eWM-RYzMpwF_W83L8uWFc-tWtUjRLAp7FxqtHwhx1F4lc2AEhBQKLQtiKa7RwiMKV8yTTFFGhR_njFFnkqPogZSiCtzZUagydhuxg,5696,ChIJLxlDym37MDARC-XeNSJyvZg,"59XJ+F5 Kuta Galoh, Kuta Galuh, Karo Regency, North Sumatra",6MMW59XJ+F5,4.3,ChIJLxlDym37MDARC-XeNSJyvZg,tourist_attraction,park,point_of_interest,establishment,143,,2500,21 (Gerimis),21 (Gerimis Berpetir),23 (Gerimis),22 (Gerimis Tidak Merata),23 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
,,,,southwest,3.1938179,98.379168,,,,,,,,,,,,,,,,,,,,2500,21 (Gerimis),21 (Gerimis Berpetir),23 (Gerimis),22 (Gerimis Tidak Merata),23 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
,"Bandar Baru, Sibolangit, Deli Serdang Regency, North Sumatra 20354, Indonesia",3.2591705,98.5134962,northeast,3.26052033,98.51484603,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,9da7b89d50ee00cefdd04b6e5f173643e0f2cfb1,Two Colors Waterfall,TRUE,532,"<a href=""https://maps.google.com/maps/contrib/118288514934764682239"">J SK</a>",CmRaAAAA_G8iBZJxY47SR1jyV3Sz_xQJ0fj470-AzBSqVf-QvpKglpsSSxAQpuKdgaappPG6xG5o9GXUDOikbWg7aUBnWHRv3joBkfCiDL8y2QITiIxqNIwcmWzjkQnEjtpABi9NEhDK29CGKf2z7rzUF68h3qoQGhQnwSBq6YTbVPGEQ10LCF4pDBiEaQ,800,ChIJZfLBEQkdMTAROO46V3i2XZw,"7G57+M9 medan, Sempajaya, Karo Regency, North Sumatra",6MMW7G57+M9,4.1,ChIJZfLBEQkdMTAROO46V3i2XZw,tourist_attraction,point_of_interest,establishment,,94,,0,21 (Hujan),22 (Berpetir),23 (Gerimis),23 (Gerimis Tidak Merata),24 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Berpetir)
,,,,southwest,3.25782067,98.51214637,,,,,,,,,,,,,,,,,,,,0,21 (Hujan),22 (Berpetir),23 (Gerimis),23 (Gerimis Tidak Merata),24 (Badai Guntur Tidak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Berpetir)
,"Jalan Perwira, Gundaling I, Berastagi, Gundaling I, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22152, Indonesia",3.1946706,98.5082507,northeast,3.19605438,98.50957523,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,8c71f25e6bb0be10e6ab947428cfec923a1bfccb,Museum Pusaka Karo - Berastagi,TRUE,677,"<a href=""https://maps.google.com/maps/contrib/100431265753896957004"">Kaban Network</a>",CmRaAAAA8bpn5OS9hK8chobaq-JgOGYUSCHEUwi_oiPURFEddrs18fL7f9zaG9rj13B2UF3evPozeapU166d2JqoGXWJ9BsctIh-46zNxrews4ntecln0W9nugZO21Nl5zCvejsMEhC97sDW4J90X9jwtUPy9lItGhRduaKXHNtyfUr8YHrs39uoLVwK5w,720,ChIJb3stBe0CMTARnyA9vPslIb4,"5GV5+V8 medan, Sempajaya, Karo Regency, North Sumatra",6MMW5GV5+V8,4.4,ChIJb3stBe0CMTARnyA9vPslIb4,museum,tourist_attraction,point_of_interest,establishment,107,,0,,,,,,,,
,,,,southwest,3.19335472,98.50687557,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
,"Jl. Jamin Ginting, Sempajaya, Kec. Berastagi, Kabupaten Karo, Sumatera Utara 22152, Indonesia",3.1975703,98.5120625,northeast,3.19892248,98.51340653,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,c092071b6c93e1abe08aaa9154ffd0d78bea1248,Bukit Kubu Berastagi,,3456,"<a href=""https://maps.google.com/maps/contrib/101894046770263872142"">A Google User</a>",CmRaAAAAKZcO1oBPxvLD9OofkUyKJhPfLJcVsgdjPpEtJyXmHKOdPi2BQboKaVyfafI2LKzmd19DLnYX0fRXZEPanJPqgCiWguSgL0Qz4PZadSM9Gwv11KSEmaYVjruwdPPPbCI_EhD-rB0f1z8iQ42WKSuvBa0pGhSxQX1h-ZXpgdOa6m9ZqUaU12vqsA,4608,ChIJE-IFYZgDMTARVzKQbeDdi4k,"5GX6+2R medan, Sempajaya, Karo Regency, North Sumatra",6MMW5GX6+2R,4.5,ChIJE-IFYZgDMTARVzKQbeDdi4k,tourist_attraction,park,point_of_interest,establishment,549,,100000,20 (Hujan),21 ( Gerimis Berpetir),23 (Gerimis),22 (Gerimis Tidak Merata),23 (Badai Guntur),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
,,,,southwest,3.19622282,98.51070687,,,,,,,,,,,,,,,,,,,,100000,20 (Hujan),21 ( Gerimis Berpetir),23 (Gerimis),22 (Gerimis Tidak Merata),23 (Badai Guntur),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
,"Daulu, Berastagi, Karo Regency, North Sumatra 20357, Indonesia",3.2274552,98.5388657,northeast,3.22858903,98.54006688,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,2397ecf35658812b479ee90f42fe1ab16c1b5745,TWA Lau Debuk-debuk,TRUE,580,"<a href=""https://maps.google.com/maps/contrib/106676418278752241382"">A Google User</a>",CmRaAAAAKd6jr2ZYGUi8hWpZ0W1CSg9glNn_S1mhqEYSSTxFmFDzqgRkZzARtAMR7-qsKcDuC_HATq9d7aVNbE2n8eu4BEDhtdtjMyx3KqiDe8ob9UhDzB2M8r2GfQ7HMHG3hKmZEhAot74OirxYNeKj-ro4R3J3GhRenRdUPvPMwekASvEBL2K-Orda3g,900,ChIJjUrf_tEcMTARci-LakJAZcM,"6GGQ+XG medan, Sempajaya, Karo Regency, North Sumatra",6MMW6GGQ+XG,4.3,ChIJjUrf_tEcMTARci-LakJAZcM,tourist_attraction,point_of_interest,establishment,,8,,0,,,,,,,,
,,,,southwest,3.22588937,98.53736722,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
,"Jl. Kutacane, Buluh Naman, Munte, Kabupaten Karo, Sumatera Utara 22154, Indonesia",3.09096,98.3620331,northeast,3.09227893,98.36337688,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,154e80b4b4a41873b5302abbbb03d47f82da92e1,Air Soda Kabupaten Karo,,358,"<a href=""https://maps.google.com/maps/contrib/101122504469615443493"">FPG channel</a>",CmRaAAAAAQQpSj6yKLhbMXR5TD6QtMk053Ok-_QZcpFNWy7TXd7-vhJrhWAOpHo65q5uOdXZwjC0Q4eMlHGPLXktF_GPzYLC7cyuIAb5Q3n9F1K80OyyCYmyB3lTWwWBoj9EOjq_EhA7FThF2fcEBRcAv2QhilwfGhRtis-pBnXD3cu5ZZbd1GifBlN-eg,534,ChIJZ2xIvvH4MDARgWqjPd5MwpM,"39R6+9R Kabanjahe, Karo Regency, North Sumatra",6MMW39R6+9R,4.4,ChIJZ2xIvvH4MDARgWqjPd5MwpM,tourist_attraction,point_of_interest,establishment,,30,,20000,25 (Hujan),26 (Gerimis Berpetir),28 (Gerimis),28 (Gerimis Tidak Merata),28 (Badai Gntur Tidak Merata),27 (Gerimis Berpetir),28 (Gerimis Berpetir),28 (Gerimis Berpetir)
,,,,southwest,3.08957927,98.36067722,,,,,,,,,,,,,,,,,,,,20000,25 (Hujan),26 (Gerimis Berpetir),28 (Gerimis),28 (Gerimis Tidak Merata),28 (Badai Gntur Tidak Merata),27 (Gerimis Berpetir),28 (Gerimis Berpetir),28 (Gerimis Berpetir)
,"Taman Lumbini, Desa Tongkoh, Berastagi, Dolat Rayat, Kabupaten Karo, Sumatera Utara 22171, Indonesia",3.1960762,98.5408348,northeast,3.19768408,98.54163458,https://maps.gstatic.com/mapfiles/place_api/icons/worship_general-71.png,fd4c65ed87f7f2ec46cb00046e71e042bdea9b06,Replika Pagoda Shwedagon,TRUE,2322,"<a href=""https://maps.google.com/maps/contrib/114131014757689602088"">deddy irawan</a>",CmRaAAAAzqr_JMdp97au30GQQhAWCuUuHbHBSGNr_JdfLG3PJy02rcIoJkRxSsk2w0jPOEaz8p1yqL9IbZOpxwclJ0uxiVlVAiBZuazshaBnzZgzbzGgUHv60wHRp3W2CHOBB4bPEhAa22n-1iIJ4XP4-PNg36CSGhRVU-MoNEQtLX3Gtzzm7vcpD3l2vQ,4128,ChIJJWikDykAMTARYz0Re4MCQoc,"5GWR+C8 medan, Sempajaya, Karo Regency, North Sumatra",6MMW5GWR+C8,4.4,ChIJJWikDykAMTARYz0Re4MCQoc,tourist_attraction,place_of_worship,point_of_interest,establishment,322,,0,,,,,,,,
,,,,southwest,3.19498442,98.53893492,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
,"Pangambatan, Merek, Karo Regency, North Sumatra 22173, Indonesia",2.8987783,98.5099146,northeast,2.90013368,98.51126703,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,cba57b2e7f0326baa442d7a6f678e903d883e867,Bukit Gajah Bobok,TRUE,3376,"<a href=""https://maps.google.com/maps/contrib/117350309745475497424"">Eka Risty Sembiring</a>",CmRaAAAAd8dTsTNtNKW8S3OUTQWiJo9uK-unVaG3fu50u-YyUZy0KWFcN31-3S1ElgUWvQBUpoWbhmZRRyvUcs8pC9LfaIcCottV5xN_MXSE9-gKxl52mcw7SoP2V3C6554yC_UAEhDXNGKkAi4gcRrXsXKcpyZoGhTX2aRZMvFUOA5g5kax0NMInDxb3A,6000,ChIJMcFOEZmyMTAR9oqKLBsBYNo,"VGX5+GX Merek, Karo Regency, North Sumatra",6MJWVGX5+GX,4.5,ChIJMcFOEZmyMTAR9oqKLBsBYNo,tourist_attraction,point_of_interest,establishment,,511,,25000,21 (Hujan),22 (Gerimis Berpetir),24 (Gerimis),24 (Gerimis Tidak Merata),24 (Badai Guntur TIdak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
,,,,southwest,2.89743402,98.50856737,,,,,,,,,,,,,,,,,,,,25000,21 (Hujan),22 (Gerimis Berpetir),24 (Gerimis),24 (Gerimis Tidak Merata),24 (Badai Guntur TIdak Merata),22 (Gerimis Berpetir),23 (Gerimis Berpetir),23 (Gerimis Berpetir)
,"Jl. Tongging - Silalahi, Tongging, Merek, Kabupaten Karo, Sumatera Utara 22173, Indonesia",2.9101484,98.5195163,northeast,2.91155648,98.52084703,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,9849923506576679276bfca97f09a77d10973b5d,Sapo Juma,TRUE,1152,"<a href=""https://maps.google.com/maps/contrib/116231265218387439758"">Sheymon Siahaan</a>",CmRaAAAAq6elYjtesEj7uL7f_W_BxO1qJ4aSvOXzOucBOtHpF_wUy6jB82V0IVPyac1mqut4FSshtbLu8cHumJT2s1iImDwB-_6RpWTmY8gsCGMnrUTr8ihHZDiuTgK9ZIPCf09SEhAx3Ivca-PLhoNKoEL2Hr2PGhQQunImrH6zncDsXq8GrmorI4VOrw,2048,ChIJS1z4hGOtMTAR0f5cGLu1k2U,"WG69+3R Merek, Situnggaling, Karo Regency, North Sumatra",6MJWWG69+3R,4.4,ChIJS1z4hGOtMTAR0f5cGLu1k2U,park,tourist_attraction,point_of_interest,establishment,662,,0,22 (Hujan),23 (Gerimis Berpetir),26 (Gerimis),25 (Gerimis Tidak Merata ,26 (Badai Guntur Tidak Merata),24 (Gerimis Berpetir),25 (Gerimis Berpetir),25 (Gerimis Berpetir)
,,,,southwest,2.90885682,98.51814737,,,,,,,,,,,,,,,,,,,,0,22 (Hujan),23 (Gerimis Berpetir),26 (Gerimis),25 (Gerimis Tidak Merata ,26 (Badai Guntur Tidak Merata),24 (Gerimis Berpetir),25 (Gerimis Berpetir),25 (Gerimis Berpetir)
,"Dolat Rayat, Karo Regency, North Sumatra 22152, Indonesia",3.2070132,98.5377388,northeast,3.20840848,98.53903958,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,6ac46afc88e1726f1dc17fb79dd149ed71984083,TAHURA (Taman Hutan Raya),TRUE,3072,"<a href=""https://maps.google.com/maps/contrib/106298579988135843611"">ngatiman man</a>",CmRaAAAAlky0rclLo5syc-nGksJMH4MgQ_eEYmeOrf6pNYvarL9n2AKdgcqr6SEXgM5VlsHdMQTjqbjz6Sko13ebHFkGqRdb36cGOj4AE2UGg-s7o_CXuZBCHTauowYKNAgfDMrPEhDySemxNPBExlxTvXWgs3KGGhSAdhWDkOYKLjbnKu5n0bj7KMmaTQ,4096,ChIJ_VVmZyMDMTARfEXsKUurjCg,"6G4Q+R3 medan, Sempajaya, Karo Regency, North Sumatra",6MMW6G4Q+R3,4.2,ChIJ_VVmZyMDMTARfEXsKUurjCg,park,tourist_attraction,point_of_interest,establishment,698,,15000,,,,,,,,
,,,,southwest,3.20570882,98.53633992,,,,,,,,,,,,,,,,,,,,15000,,,,,,,,
,"Tongging, Merek, Karo Regency, North Sumatra 22173, Indonesia",2.9116491,98.5182663,northeast,2.91296078,98.51968843,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,60ac63e81790d7ee3fbd74c78e90423f522bf181,Taman bunga Sapo Juma,TRUE,480,"<a href=""https://maps.google.com/maps/contrib/108561115405964946661"">Dwi Arwita</a>",CmRaAAAAiVNd8Kl_umpyUchiF7m9JQ3A0TJlHo4rZF5UkTINahkW9Vtg8Btob10n0ECifYkAgyJTOc6Myk73Y7k_jp-YM8do2RYApQ4kuMyKY0ZIx-fKlpbx0sLXWylzfaBNDTDoEhCoJWe76jE8WjpuIpIqwCTHGhSOqwi7-23EsA5M2zPTt1_tFzExKg,640,ChIJlW-5PnutMTARKY0lFrdvVYw,"WG69+M8 Merek, Situnggaling, Karo Regency, North Sumatra",6MJWWG69+M8,4.4,ChIJlW-5PnutMTARKY0lFrdvVYw,tourist_attraction,park,point_of_interest,establishment,194,,20000,22 (Hujan),23 (Gerimis Berpetir),26 (Gerimis),25 (Gerimis Tidak Merata ,26 (Badai Guntur Tidak Merata),24 (Gerimis Berpetir),25 (Gerimis Berpetir),25 (Gerimis Berpetir)
