results__formatted_address,results__geometry__location__lat,results__geometry__location__lng,results__geometry__viewport__|,results__geometry__viewport__|__lat,results__geometry__viewport__|__lng,results__icon,results__id,results__name,results__opening_hours__open_now,results__photos__height,results__photos__html_attributions__-,results__photos__photo_reference,results__photos__width,results__place_id,results__plus_code__compound_code,results__plus_code__global_code,results__rating,results__reference,results__types__001,results__types__002,results__types__003,results__types__004,results__user_ratings_total,status,Biaya,21-Dec-19,22-Dec-19,23-Dec-19,24-Dec-19,25-Dec-19,26-Dec-19,27-Dec-19,28-Dec-19
"Turpuk Limbong, Harian, Samosir Regency, North Sumatra 22396, Indonesia",2.5520926,98.6398482,northeast,2.55342898,98.64114263,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,cdde0d41fd75791f8ea3eb326c6407737c2d7bac,Menara Pandang Tele Samosir,,3120,"<a href=""https://maps.google.com/maps/contrib/107607264689328952641"">Reihardian Sht</a>",CmRaAAAA9TjmMXXiefHSU7X6DxShT1aTDBOZC5CJzWA4P9f7GTSKkJtwNwQ5tvHaoBdZ4yvVXgEcwjpsYjroiKU1uDlj2nT-dw9dngxHDQQMl6WqTRcDyXDTpj7Sg6BmCh_2gc6DEhDe_02MFmdSInRNptnK2zMtGhTtPclXUhwjraUDilIj9kLjIcoPlQ,4160,ChIJCxjj8GDQMTARGKoI8EW6YbU,"HJ2Q+RW Pangururan, Samosir Regency, North Sumatra",6MJWHJ2Q+RW,4.5,ChIJCxjj8GDQMTARGKoI8EW6YbU,tourist_attraction,point_of_interest,establishment,,1344,,7000,,,,,,,,
,,,southwest,2.55072932,98.63844297,,,,,,,,,,,,,,,,,,,,7000,,,,,,,,
"Tomok, Simanindo, Samosir Regency, North Sumatra 22395, Indonesia",2.6506901,98.8601417,northeast,2.65209423,98.86154413,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,70e6a7c16debb5548e1a7c3843ecc71b50ec7ac9,Batak Museum,TRUE,3024,"<a href=""https://maps.google.com/maps/contrib/113090392733856852333"">Karljo Manlosa</a>",CmRaAAAAs9AEtD-smT6jg1ynKD0FloBtI2EPYCLu4apqR-APe7cdeIZ4xjPMeyLXGHW6s9q1NX0wvRJOFM2aRu9GhXZx2WrG-jG2J_A0_Xk7-0Z2AXcKiPa3wTRnS4Jg1Mouxky_EhAUAclPqmJlwu4hrDovHrB5GhQFXNiHJoRIBMOJoMqERT80aqJDTQ,4032,ChIJ__0XkZTpMTARSHs4bOtQ86c,"MV26+73 Ambarita, Samosir Regency, North Sumatra",6MJWMV26+73,4.2,ChIJ__0XkZTpMTARSHs4bOtQ86c,museum,tourist_attraction,point_of_interest,establishment,308,,10000,,,,,,,,
,,,southwest,2.64939457,98.85884447,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,
"Simanindo, Samosir Regency, North Sumatra 22359, Indonesia",2.7602118,98.7248781,northeast,2.76142603,98.72622573,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,5e39b6a7f67d0a126e7879a7bf36b0e272fdd1bf,Pantai Batu Hoda (Batu Hoda Beach),TRUE,3120,"<a href=""https://maps.google.com/maps/contrib/108626920514426320548"">rofika naibaho</a>",CmRZAAAAO74rO8vR7rPb52YiLGOX_Q5n8xQ9L8pOOW9p-71A6u127IoFXagVzEDdaFxcrWyaKCGc_Mji3pXX3a7wG-txt772iUqt2BgoSWytlTcUWME0kePjMYFS3SAXx3Yfq8PLEhBxNqhanaOMpcFvvBc6dEx_GhRPpNq5V_gKmlw_aaXCFCn-CVD9Sg,4160,ChIJB1Lscpa4MTARA2LwxN-m37c,"QP6F+3X Simanindo, Samosir Regency, North Sumatra",6MJWQP6F+3X,4.2,ChIJB1Lscpa4MTARA2LwxN-m37c,tourist_attraction,point_of_interest,establishment,,620,,140000,,,,,,,,
,,,southwest,2.75872637,98.72352607,,,,,,,,,,,,,,,,,,,,140000,,,,,,,,
"Sarimarrihit, Sianjur Mula Mula, Samosir Regency, North Sumatra 22396, Indonesia",2.5902361,98.629065,northeast,2.59157223,98.63038383,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ae787e6a185890d74b87eeb34a9b0e8368fd3b2f,Batu Hobon,TRUE,2340,"<a href=""https://maps.google.com/maps/contrib/116922521398575717507"">gilang pratama</a>",CmRaAAAAoCjAhI55ldVlBNOXtPWpJaXDaoysO26PWZeXpas3pPkfOBW7_BB-3Cg9kVRR12bm-fc-N0Wx5YUIniOmpx4nQ9K1-SFuLY-p2mQArdCBF9Bwk4BgQ31gpglb4hVNOs65EhBkxd6r3K_ZyhcEgbxULSSGGhTLFcUBD1UVJQIHLMdm_d9_CTQ5Kg,4160,ChIJT3Fpb9jPMTAR76m53o6DgqI,"HJRH+3J Pangururan, Samosir Regency, North Sumatra",6MJWHJRH+3J,4.4,ChIJT3Fpb9jPMTAR76m53o6DgqI,museum,tourist_attraction,point_of_interest,establishment,119,,5000,22(Hujan),24(Gerimis Berpetir),25(Gerimis Tidak Merata),25(Badai Guntur Tidak Merata),25(Badai Guntur Tidak Merata),24(Gerimis Berpetir),25(Badai Guntur Tidak Merata),25(Gerimis Berpetir)
,,,southwest,2.58887257,98.62768417,,,,,,,,,,,,,,,,,,,,5000,22(Hujan),24(Gerimis Berpetir),25(Gerimis Tidak Merata),25(Badai Guntur Tidak Merata),25(Badai Guntur Tidak Merata),24(Gerimis Berpetir),25(Badai Guntur Tidak Merata),25(Gerimis Berpetir)
"Tomok, Simanindo, Samosir Regency, North Sumatra 22395, Indonesia",2.651854,98.8607633,northeast,2.65318253,98.86209628,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,fadd8b190dc450fc6e6627243219c537b7f67b35,Pertunjukan Tari SIGALE GALE,TRUE,4032,"<a href=""https://maps.google.com/maps/contrib/110606664926264478154"">yusup warsito</a>",CmRaAAAANqySXqn8hL3ejsf7ySXNSIwFxKlaOF_YTeJG5sM46v1hC8VfPYwE5kjcaw-wxU93ebwpj8HcARJsp9B7S0CeEUrA7tpkBvqkBi2N_iVLcFot4v0-0o6wUc201YNpni1SEhCScjfd6cOtpPAeVPUsyvjnGhQLiLMySMiBhkw2Dze2WkpyjtQfEA,3024,ChIJZXlZeZPpMTARVXsbUHFqV0I,"MV26+P8 Ambarita, Samosir Regency, North Sumatra",6MJWMV26+P8,4.4,ChIJZXlZeZPpMTARVXsbUHFqV0I,tourist_attraction,point_of_interest,establishment,,1353,,5000,,,,,,,,
,,,southwest,2.65048287,98.85939662,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,
"Jl. Pulau Samosir, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395, Indonesia",2.6041291,98.8680224,northeast,2.60550848,98.86941988,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,dbfc49dd068bb3ecf303db44fc139136f32383c4,Batu marhosa,,4608,"<a href=""https://maps.google.com/maps/contrib/112993354680413883646"">Bongguk Pangaribuan</a>",CmRaAAAA2CbmpLAEOjIbK6FWx4QDInHm-OmH6PUWSANp0yOQJWPPZNd5-DouGZbdCgdcSS500g1d3SjrKWbvqjoSypGd6Il8Sa0DLFM8TEy0gmBbdKTE05eVJGHoJh47gVjhGOlrEhDGlepl-UrG1di88ZLCrP8aGhTq0Qa7INE7IW5PGBTKGCpstwA5ug,3456,ChIJKfXMOlDoMTARugG_35BIj_c,"JV39+M6 Parapat, Simalungun Regency, North Sumatra",6MJWJV39+M6,4.4,ChIJKfXMOlDoMTARugG_35BIj_c,tourist_attraction,point_of_interest,establishment,,32,,120000,21(Hujan),23(Gerimis Berpetir),24(Gerimis Tidak Merata),24(Gerimis Berpetir),24(Badai Guntur Tidak Merata),23(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir)
,,,southwest,2.60280882,98.86672022,,,,,,,,,,,,,,,,,,,,120000,21(Hujan),23(Gerimis Berpetir),24(Gerimis Tidak Merata),24(Gerimis Berpetir),24(Badai Guntur Tidak Merata),23(Gerimis Berpetir),24(Gerimis Berpetir),24(Gerimis Berpetir)
"Ginolat, Sianjur Mula Mula, Samosir Regency, North Sumatra 22396, Indonesia",2.595218,98.646143,northeast,2.59656783,98.64749283,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,f4993c58382a2f8e7dbdd12d14422d483a7c0197,Batu Sawan,,2268,"<a href=""https://maps.google.com/maps/contrib/117916751080600651056"">Frank Vos</a>",CmRaAAAAoyVFh4zlPOsk0YUjclIEAcjrw54dq8GnZgX3gsGf2Sc9GdRlgnFOr2NOytbqDJBShC0TBE_zO_c8-SZ4sJzhawoUF_Jk10ISd-1qbbQCDgpYEM6PPwf64f85LAhbU7HfEhBLLuiv261csOGgox8xhC3OGhSXjtaLl4cX4TdgpAB9NOkqEb83RQ,4032,ChIJW75XYOTPMTAR7BuXLPwtbvI,"HJWW+3F Pangururan, Samosir Regency, North Sumatra",6MJWHJWW+3F,4.7,ChIJW75XYOTPMTAR7BuXLPwtbvI,tourist_attraction,point_of_interest,establishment,,57,,5000,21(Hujan),23(Gerimis Berpetir),24(Gerimis Tidak Merata),24(Badai Guntur Tidak Merata),24(Badai Guntur Tidak Merata),23(Gerimis Berpetir),24(Badai Guntur Tidak Merata),24(Gerimis Berpetir)
,,,southwest,2.59386817,98.64479317,,,,,,,,,,,,,,,,,,,,5000,21(Hujan),23(Gerimis Berpetir),24(Gerimis Tidak Merata),24(Badai Guntur Tidak Merata),24(Badai Guntur Tidak Merata),23(Gerimis Berpetir),24(Badai Guntur Tidak Merata),24(Gerimis Berpetir)
"Tomok, Simanindo, Samosir Regency, North Sumatra 22395, Indonesia",2.6100738,98.8641736,northeast,2.61160083,98.86577628,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,7e807480248d964e195b6022fc5841fb1eeb51ea,AIR TERJUN SIGARATTUNG ( Sampuran Na Pitu),,4160,"<a href=""https://maps.google.com/maps/contrib/113847067728468685693"">enny silaban</a>",CmRaAAAAltF1xAi2d1UnRoT5av-RLUGiSXer7Nqy4aH5aem_hQh7Jgkk_6xPSRRqG0BlubXk1LPGYkG9UPFi2eadODk8rakdWh9OvZ4nHkWKtGj1rQB3z04mE6rsLwWdf7y-q8-2EhBYrDHw0r0A8bPlJnqjaT_iGhQjrhA5cZH1XBwiztg8V_HJ7dH3ig,3120,ChIJVTaq1kPoMTARYcelLVPIiOg,"JV67+2M Parapat, Simalungun Regency, North Sumatra",6MJWJV67+2M,4.5,ChIJVTaq1kPoMTARYcelLVPIiOg,tourist_attraction,point_of_interest,establishment,,102,,5000,,,,,,,,
,,,southwest,2.60890117,98.86307662,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,
"tuk tuk danau, Toba, South Siantar, Pematang Siantar City, North Sumatra, Indonesia",2.6610216,98.846906,northeast,2.66257638,98.84808813,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,bc7819f2371f73c3164adb7d6629723937990025,Bukit Beta Tuk-tuk,,960,"<a href=""https://maps.google.com/maps/contrib/117314132890990240696"">Marine Sark</a>",CmRaAAAA-BhM7vt7NrLxwmV3VtP1pjRV0TV8tBNs3pYblz_5qHI3cYIjPnboU0taKk7awx0vq-VYG3qW0nYWUywaPUWNtChlZ1lkYSRTyAzblUE1lsGokylYY7McSLqxlm0F3FSOEhCZiBsaiY20rO00g-pSEhvaGhQivhDBE2IWCoh5vOwCdQbLJCg4oA,1280,ChIJTfI8BPrpMTARYagp0HjSjvs,"MR6W+CQ Ambarita, Samosir Regency, North Sumatra",6MJWMR6W+CQ,4.6,ChIJTfI8BPrpMTARYagp0HjSjvs,tourist_attraction,point_of_interest,establishment,,104,,100000,24(Hujan),26(Gerimis Berpetir),27(Gerimis Tidak Merata),27(Gerimis Berpetir),27(Badai Guntur Tidak Merata),27(Gerimis Berpetir),27(Gerimis berpetir),27(Gerimis Berpetir)
,,,southwest,2.65987672,98.84538847,,,,,,,,,,,,,,,,,,,,100000,24(Hujan),26(Gerimis Berpetir),27(Gerimis Tidak Merata),27(Gerimis Berpetir),27(Badai Guntur Tidak Merata),27(Gerimis Berpetir),27(Gerimis berpetir),27(Gerimis Berpetir)
"Sarimarrihit, Sianjur Mula Mula, Samosir Regency, North Sumatra 22396, Indonesia",2.5891228,98.6214639,northeast,2.59124275,98.6258496,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,c617d00c4c7e2e86b2a0877b5e40a89886686b60,Hadabuan Naisogop Waterfalls,,4208,"<a href=""https://maps.google.com/maps/contrib/101605280854155886358"">Mohamad Naqiuddin</a>",CmRaAAAA021I0QYLoPu008nroCTk4hYF70c5QKvvUJ3GgBsSJkUpUuy1hsmy1SRAD9xq6EOtkG2MQ_XLyQ1lIKbmokXrsHU2fstSWwfz4NkHrh-kjtS3k4pEYJU3TmwI7VabzqO8EhASHQmdIr7yLsQ8coy05SuTGhQzfIh-1bZSKBdjphjnIpODWbgCig,2368,ChIJQZKTASrQMTARvQSa-Zz_1f0,"HJQC+JH Pangururan, Samosir Regency, North Sumatra",6MJWHJQC+JH,4.3,ChIJQZKTASrQMTARvQSa-Zz_1f0,tourist_attraction,point_of_interest,establishment,,79,,15000,,,,,,,,
,,,southwest,2.58841615,98.620002,,,,,,,,,,,,,,,,,,,,15000,,,,,,,,
"Tomok, Simanindo, Samosir Regency, North Sumatra 22395, Indonesia",2.60954,98.8433941,northeast,2.613146,98.84415473,https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png,b417c7bf47fe3b3463eb7bb76912e68861bce92a,Botanical Samosir,,2322,"<a href=""https://maps.google.com/maps/contrib/110001635764293303091"">Daniel Zbinden</a>",CmRaAAAAuqdYXu86WHjOs73lt0k-3uutsh1ePi5wer4SpfAlQGZ2MqNaCZ6TEED-26NL_LpbKDe0pr5h5LC0xMoXeq5RuFtcGngedkLoHA5ma2EO7icg45uosDOVhd0O_OCFJhw5EhDmCCP30xBWjx7T-6vWI22GGhT1r7_IoSz-fVKRdgW4Gv1pf9ajmg,4128,ChIJs2Oh5pnCMTAR0ee2brnPGQ8,"JR5V+R9 Ronggurnihuta, Simbolon Purba, Samosir Regency, North Sumatra",6MJWJR5V+R9,4.2,ChIJs2Oh5pnCMTAR0ee2brnPGQ8,tourist_attraction,park,point_of_interest,establishment,235,,25000,21(Hujan),22(Gerimis Berpetir),23(Gerimis Tidak Merata),23(Gerimis Berpetir),23(Badai Guntur Tidak Merata),23(Gerimis berpetir),23(Gerimis Berpetir),23(Gerimis Berpetir)
,,,southwest,2.608338,98.84145507,,,,,,,,,,,,,,,,,,,,25000,21(Hujan),22(Gerimis Berpetir),23(Gerimis Tidak Merata),23(Gerimis Berpetir),23(Badai Guntur Tidak Merata),23(Gerimis berpetir),23(Gerimis Berpetir),23(Gerimis Berpetir)
"Toba, Pangururan, Sialanguan, Pangururan, Kabupaten Samosir, Sumatera Utara, Indonesia",2.6978299,98.6900263,northeast,2.69922373,98.69143198,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,bb0bce2c4ffea543c0e2049a3a9e1d2f5f87f322,Pantai Indah Situngkir (PIS),TRUE,296,"<a href=""https://maps.google.com/maps/contrib/113409232430028663820"">Ben-hur Simarmata</a>",CmRaAAAAVrnf7odW-_mw24e4b0s-oLCaY13n_N622rho8CbjROtItWNgaReaTPbdgwLCUt53FBnzhfsHjMJQN5xt1yYrpBkav5AHil8jmXMP_wKSMq5XzJDe4CGhvaf052Tb84AaEhCOprj8REDNMcxNgfSbNKLVGhRCU-O3cglJxHb-2HGNE4YpJJUtIg,528,ChIJi-jZdk_GMTAR2wAJ06FZGeY,"MMXR+42 Pangururan, Samosir Regency, North Sumatra",6MJWMMXR+42,4.4,ChIJi-jZdk_GMTAR2wAJ06FZGeY,tourist_attraction,point_of_interest,establishment,,121,,0,,,,,,,,
,,,southwest,2.69652407,98.68873232,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
"Huta Siallagan Siallagan-Pindaraya, Ambarita, Simanindo, Kabupaten Samosir, Sumatera Utara 22395, Indonesia",2.679022,98.836404,northeast,2.68036938,98.83774983,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,10144407ec3e351c125ec4ecc49276a8ce55ca83,Batu Kursi Raja Siallagan ( Stone Chair of King Siallagan ),TRUE,1152,"<a href=""https://maps.google.com/maps/contrib/105027279460304034823"">Batu Parsidangan Siallagan</a>",CmRaAAAABY8CiCvhFfgBMECLX9Mawb24CvlILWsPiuToo5dQyU6xUd_jc8lCqYMBbKC_i6Zqz5rI6uUy_aoN4Aoz9UwXa5rPeW0qUaMoi1geM-gd21sspzit2ormxvQK8y2PfcGwEhDSGw5n-XKNWMG3Nu_E9vP-GhTrtnJ56wzQZcDRsh1QIFRfBOafwA,1728,ChIJC4Fw1gnqMTARsycDlYPcujo,"MRHP+JH Simanindo, Samosir Regency, North Sumatra",6MJWMRHP+JH,4.5,ChIJC4Fw1gnqMTARsycDlYPcujo,tourist_attraction,museum,point_of_interest,establishment,972,,5000,25(Hujan),27(Gerimis Berpetir),28(Gerimis Tidak Merata),28(Gerimis Berpetir),28(Badai Guntur Tidak Merata),27(Gerimis Berpetir),28(Gerimis Berpetir),28(Gerimis Berpetir)
,,,southwest,2.67766972,98.83505017,,,,,,,,,,,,,,,,,,,,5000,25(Hujan),27(Gerimis Berpetir),28(Gerimis Tidak Merata),28(Gerimis Berpetir),28(Badai Guntur Tidak Merata),27(Gerimis Berpetir),28(Gerimis Berpetir),28(Gerimis Berpetir)
"Tomok, Simanindo, Samosir Regency, North Sumatra 22395, Indonesia",2.6173738,98.8723285,northeast,2.61872983,98.87335913,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,adabc523ce454625153768a4fd9818d964983e4f,Parhallow viewpoint and coffee shop,TRUE,2340,"<a href=""https://maps.google.com/maps/contrib/102442563143769831086"">Agus Hidayat</a>",CmRaAAAAixLt-5cheZW3LVmRRsMRM_JQwCLye7ZEhCIxzDkj15m3EQRcAO0PGjAwJ6N-bUiI37bRIGVG74qqLjSWI6FdCCCC1T6wv3tTguKp4s84xP9SArZDBtafEDPpw5-83TAeEhAKfMg22qtnnJrvgZItB7nDGhT_Ouf--uRpgWzygL7PvK1RylwHfw,4160,ChIJpfLShlDoMTARgD5-7ELQr2c,"JV8C+WW Parapat, Simalungun Regency, North Sumatra",6MJWJV8C+WW,4.5,ChIJpfLShlDoMTARgD5-7ELQr2c,tourist_attraction,point_of_interest,establishment,,262,,350000,,,,,,,,
,,,southwest,2.61603017,98.87065947,,,,,,,,,,,,,,,,,,,,350000,,,,,,,,
"Jl. Pelabuhan Simanindo, Simanindo Sangkal, Simanindo, Kabupaten Samosir, Sumatera Utara 22395, Indonesia",2.752265,98.744456,northeast,2.75344378,98.74572693,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,d7caffde419f8ab31d9dfd4b34d8c74ccc35811f,Museum Huta Bolon Simanindo,TRUE,2322,"<a href=""https://maps.google.com/maps/contrib/117530351654795352633"">ridu hutahaean</a>",CmRaAAAA7DinrmX8glZ1-HRu8uZnA_IRaGEssFoXAZYBYClh7AudytsfeWagpoEjK1cBvoR5uT8JDTJqa0RXG35BGq0tARB_fxweTiYuktZXE6C0NLEanOU0w3FAgrV2qvwzLK5tEhBQ3Fv73u2FI9yFEKJFyV4gGhSqMe6n7smErUmJCfJvLkvIykrCBg,4128,ChIJBY5oRKy4MTARvSXmr77gINs,"QP2V+WQ Pangururan, Samosir Regency, North Sumatra",6MJWQP2V+WQ,4,ChIJBY5oRKy4MTARvSXmr77gINs,museum,tourist_attraction,point_of_interest,establishment,251,,0,,,,,,,,
,,,southwest,2.75074412,98.74302727,,,,,,,,,,,,,,,,,,,,,,,,,,,,
